time,open,high,low,close,Volume,Volume
1612468800,1797.3,1820.76,1769.08,1782.28,645631,1105149.2
1612476000,1782.75,1783.35,1722,1731.67,1382499,1153076.6
1612483200,1730.62,1763.41,1725.27,1731.36,635321,1115759.6
1612490400,1731.15,1797.52,1727.43,1780.44,509531,1090094.85
1612497600,1781.88,1786.71,1762.88,1773.81,551623,1066956.5
1612504800,1773.64,1822.06,1773.64,1815.79,516250,1033840.65
1612512000,1817.06,1833.99,1796.28,1798.18,818831,1004373.95
1612519200,1796.11,1814.34,1784.08,1810.62,568806,990254.7
1612526400,1811.45,1885.99,1806.02,1878.86,1294729,1015479.45
1612533600,1878.93,1911.54,1868.65,1901.97,1089335,1042608.65
1612540800,1902.82,1927.01,1858.66,1880.45,1573861,1047933.1
1612548000,1881.87,1882.88,1829.68,1861.13,1246633,1054834.5
1612555200,1857.66,1876.5,1845.78,1869.77,386602,1057030.5
1612562400,1869.53,1874.54,1846.82,1867.19,402132,1047881.95
1612569600,1867.8,1893.66,1780,1811.06,2446075,1019238.6
1612576800,1810.5,1832.85,1797.51,1827.77,1249457,1039568.35
1612584000,1827.41,1827.41,1781,1798.39,657270,1035780.05
1612591200,1796.91,1821.09,1793.99,1811.12,820904,985251.75
1612598400,1811.32,1867,1811.08,1839.32,786249,961549.85
1612605600,1840.23,1845.37,1817.16,1825.18,704152,914294.55
1612612800,1823.77,1837.72,1805.09,1819.2,607485,912387.25
1612620000,1820.47,1846.98,1820.47,1821.62,483807,867452.65
1612627200,1821.62,1854.34,1800.27,1850.9,622406,866806.9
1612634400,1852.39,1861.69,1836.43,1854.79,439633,863312
1612641600,1854.36,1868.11,1828.35,1862.75,426469,857054.3
1612648800,1862.75,1876.04,1819.88,1826.56,683676,865425.6
1612656000,1826.57,1846.12,1771.39,1783.86,1799797,914473.9
1612663200,1783.85,1788.7,1743.04,1761.77,1578373,964952.25
1612670400,1760.94,1766.84,1710.1,1746.21,1878654,994148.5
1612677600,1745.76,1767.44,1732.77,1761.46,791501,979256.8
1612684800,1759.74,1776.41,1756.83,1761.5,437475,922437.5
1612692000,1762.36,1784.64,1739.33,1754.24,833748,901793.25
1612699200,1752.44,1757.64,1699.17,1701.94,1919371,978431.7
1612706400,1701.31,1702.25,1585.03,1642.46,6176732,1267161.7
1612713600,1642.16,1677.88,1585.95,1659.91,2546024,1272159.15
1612720800,1658.06,1696.92,1657.97,1673.06,774990,1248435.8
1612728000,1672.52,1713.79,1658.38,1708.12,710207,1251082.65
1612735200,1707.72,1736.66,1684.36,1724.61,697386,1244906.75
1612742400,1724.72,1749.89,1688.86,1703.72,787276,1244958.1
1612749600,1704.01,1717.83,1675.03,1695.78,831037,1251302.35
1612756800,1695.52,1747.18,1691.91,1728.84,1076440,1274750.1
1612764000,1729.48,1775.99,1729.35,1765.39,480553,1274587.4
1612771200,1765.82,1780,1750,1753.69,557223,1271328.25
1612778400,1753.36,1798.52,1749.09,1791.96,379218,1268307.5
1612785600,1791.75,1908.99,1773.38,1832.79,3248147,1409391.4
1612792800,1834.55,1928.34,1833.26,1897.82,1886856,1469550.4
1612800000,1898.17,1944.47,1856,1866.06,1690989,1464110
1612807200,1868.29,1873.73,1842.69,1853.22,803585,1425370.6
1612814400,1852.23,1899.32,1842.94,1855.07,1382235,1400549.65
1612821600,1854.8,1925.46,1854.3,1921.21,864836,1404216.4
1612828800,1922.48,1940.42,1890.34,1897.86,1257149,1445200.1
1612836000,1897.01,1902.15,1866.92,1900.86,750012,1441013.3
1612843200,1899.58,1920.3,1893.52,1912.54,505356,1370312.55
1612850400,1912,1949,1897.4,1922,671921,1095072
1612857600,1925.26,2017.19,1925.26,1956.57,1848810,1060211.3
1612864800,1955.82,1961.31,1889.17,1928.99,1562024,1099563
1612872000,1928.99,1948.49,1876.05,1903.16,1434151,1135760.2
1612879200,1904,1926.7,1896.01,1917.21,594583,1130620.05
1612886400,1916.86,1932.36,1881.24,1901,1053057,1143909.1
1612893600,1903.81,1939.61,1897.74,1939.61,490443,1126879.4
1612900800,1939.98,1959.37,1905.7,1929.72,1232835,1134699.15
1612908000,1927.98,1943.08,1907.42,1935.4,300160,1125679.5
1612915200,1936,1979.99,1920.72,1978.52,552129,1125424.8
1612922400,1978.76,2010.98,1970.76,1986.75,1002693,1156598.55
1612929600,1986.33,1991.7,1934.53,1965.82,939188,1041150.6
1612936800,1967.18,1999,1967.18,1988.44,441118,968863.7
1612944000,1989.87,2026.46,1953.83,1963.89,1097382,939183.35
